auth_a,auth_b,cnt
--t7tr--,danielzyt,4962
--t7tr--,hills95,9744
--t7tr--,kiggudde,107
--t7tr--,livasa,237
--t7tr--,mugabi henry,12
--t7tr--,nicoleyohe,254
--t7tr--,tetram,35
aarzon,super-map,260
abc26324,peregrination,3
abdul osm,anaximandre,4
abdul osm,aneth nemes,45
abdul osm,anthony acquah,33
abdul osm,daleycc,12
abdul osm,harmharm,11
abdul osm,ibntēšfīn,1
abdul osm,myosmalexis,30
abdul osm,nesim,105
abdul osm,pyram,9
abdul osm,smgnslk,5
abdul osm,yercizenler,216
abdul osm,ylmzfrk,2
abdul osm,zeynep çangarlı,10
abdulquadri,darasimi,28
abdulquadri,solution oriented,46998
abiyasmin,agaugler,3
abiyasmin,jiajing zhang,2
abiyasmin,muriga muchiri,163
abr2296,danbuntley,437
absurdpooky,brublanc,200
absurdpooky,jiajing zhang,4
absurdpooky,lmitch888,1
absurdpooky,oberpfälzer,2
absurdpooky,reeseray789,56
abu rumman,ido marom,14
abu rumman,nelsonoaks,280
abu rumman,smart d,539
abu rumman,solution oriented,24646
abu rumman,tupero,153
abu rumman,wisniewskin,1921
acikani abraham,nabulo carol,730
aclark1126,hills95,989
aclark1126,prosper1994,3884
acn dan giles,danielzyt,10523
acn dan giles,hills95,76886
acn dan giles,kajomi,74
acn dan giles,kaluba micheal,1
acn dan giles,kiggudde,199
acn dan giles,klain890,387
acn dan giles,mugabi henry,73
acn dan giles,shamillah,20
adam_silverman,chris@zontine,9
adriansyah,hills95,33
adrien38,danielzyt,12
adrien38,hills95,13
adrien38,mugabi henry,1
adriko justice,danielzyt,1821
adriko justice,hills95,925226
adriko justice,kiggudde,438
adriko justice,klain890,1187
adriko justice,mjaia,111
adriko justice,naputus,666
adriko justice,shamillah,7789
afo-kangah,hills95,151
agaugler,brublanc,36
agaugler,muriga muchiri,45
agaugler,sarahcassius,1
agaugler,seefis,1
ahmetyesevia,anthony acquah,9
ahmetyesevia,daleycc,1
ahmetyesevia,nesim,1
ahmetyesevia,nuri çekin,2
ahmetyesevia,yercizenler,26
ahmetyesevia,zehrakay,1
aiko harriet tubby,evlyn tumwah,9
aiko harriet tubby,hills95,1085
aiko harriet tubby,kaluba micheal,9
aiko harriet tubby,nabulo carol,37
aiko harriet tubby,nielkrokodil,9
aiko harriet tubby,prosper1994,9
aimarti,lorenzostucchi,16
aimarti,tars4815,4700
alain droux,danielzyt,8189
alain droux,hills95,2680
alain droux,kiggudde,99
alan couchman-sawyer,dave stanley,20
aldoct,fayor,4
ale_zena_it,lorenzostucchi,1041
alecs01,alice bonfiglio,10
alecs01,aury88,83
alecs01,byeongil bae,2
alecs01,chiaraponti,18
alecs01,danieleoxoli,39
alecs01,fabio cattaneo,22
alecs01,frafra,47
alecs01,kilsedar,374
alecs01,lorenzostucchi,71
alecs01,mark2295,5
alecs01,michael montani,16
alecs01,tars4815,22
alessandra scutti,asturksever,16
alessandra scutti,carolina echavarria,326
alessandra scutti,danieleoxoli,84
alessandra scutti,frafra,82
alessandra scutti,michael montani,5361
alice bonfiglio,aury88,135
alice bonfiglio,fabio cattaneo,50
alice bonfiglio,frafra,25
alice bonfiglio,lorenzostucchi,145
alice bonfiglio,mark2295,10
alice bonfiglio,michael montani,5
alice bonfiglio,mugabi henry,40
alice bonfiglio,tars4815,452
allan daniel,amour_nyl,15
allan daniel,danielzyt,16572
allan daniel,daryr,12
allan daniel,dosandriani,620
allan daniel,hawa adinani,44
allan daniel,hills95,85154
allan daniel,judithkamugisha,120
allan daniel,juweni,3661
allan daniel,kaluba micheal,3
allan daniel,kombe1207,108
allan daniel,mjb3,56
allan daniel,mugabi henry,216
allan daniel,musawo,7
allan daniel,nababi tracy,742
allan daniel,nabulo carol,14440
allan daniel,naomiangelia,169
allan daniel,naturinda,566
allan daniel,nielkrokodil,1239
allan daniel,piligab,28
allan daniel,rlaurentinus,201
allan daniel,siima,7322
allan daniel,sylwian_arup,12
allan daniel,szjjdd,60
allan daniel,tonny john,18
allan daniel,tri selasa,12
allan daniel,vickiemorine,4
allan daniel,xicopath,23
allan mkandawire,danielzyt,3369
allan mkandawire,hills95,20
allan mkandawire,juweni,49
allan mkandawire,tars4815,26
amidia,brublanc,425
amigokima,brunoacafonso,3
amigokima,marvin bergner,1
amour_nyl,danielzyt,38
amour_nyl,gwantwa mwakibete,7
amour_nyl,hawa adinani,1
amour_nyl,hills95,3709
amour_nyl,kombe1207,8
amour_nyl,manirakiza moses,16
amour_nyl,nababi tracy,121
amour_nyl,nielkrokodil,8
amour_nyl,siima,112
amuhogwe,hills95,193
amuhogwe,ratrun,2
amule,danielzyt,2186
anaximandre,giraud colin,1
anaximandre,martintamarre,3
anaximandre,nicojp,1
andreas cierpka,danielzyt,20
andreas cierpka,nabulo carol,2
andrew gerrard,danielzyt,9140
andrew gerrard,eero_sario,4
andrew gerrard,evlyn tumwah,10
andrew gerrard,hills95,39267
andrew gerrard,hugovk,30
andrew gerrard,juhonoro,2
andrew gerrard,kiggudde,2
andrew gerrard,klain890,33
andrew gerrard,maggie in leith,33
andrew gerrard,mpuuga,10
andrew gerrard,mugabi henry,69
andrew gerrard,petri eskelinen,18
andrewbuck,danielzyt,283
andrewbuck,hills95,738
andya96,bilbo huggins,62906
andya96,gctreasurer,8
andya96,sac1234,7
andyg77,secondedition,2
